Tue Mar 24 17:30:07 2026    profiling_results/split_stratified_large_n_run1.prof

         69841 function calls in 0.045 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.045    0.045 profiling_senarios.py:375(run_scenario)
        1    0.002    0.002    0.044    0.044 profiling_senarios.py:248(scenario_split_stratified_large_n)
        1    0.002    0.002    0.025    0.025 split.py:138(train_val_test_splits)
     8400    0.011    0.000    0.021    0.000 split.py:19(_stable_int)
        6    0.002    0.000    0.018    0.003 {built-in method builtins.sorted}
        1    0.001    0.001    0.018    0.018 split.py:94(assign_folds)
        3    0.001    0.000    0.010    0.003 {method 'sort' of 'list' objects}
        2    0.004    0.002    0.010    0.005 split.py:68(_group_by_stratum)
     3000    0.001    0.000    0.009    0.000 split.py:130(<lambda>)
     2400    0.001    0.000    0.007    0.000 split.py:188(<lambda>)
     1920    0.001    0.000    0.006    0.000 split.py:199(<lambda>)
     8400    0.005    0.000    0.005    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
     5400    0.002    0.000    0.004    0.000 split.py:45(_get_stratum_value)
     8400    0.003    0.000    0.003    0.000 {built-in method _hashlib.openssl_sha256}
     8430    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
     8400    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      600    0.000    0.000    0.002    0.000 split.py:201(<lambda>)
     8400    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      480    0.000    0.000    0.001    0.000 split.py:200(<lambda>)
     5400    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 profiling_senarios.py:49(configure_profiling_environment)
       15    0.000    0.000    0.000    0.000 <frozen os>:754(setdefault)
       30    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
       15    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
       30    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       30    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
       30    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


