Tue Mar 24 17:30:03 2026    profiling_results/s3_inference_metadata_burst_run1.prof

         1119756 function calls (1094440 primitive calls) in 0.837 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.840    0.840 profiling_senarios.py:375(run_scenario)
        1    0.001    0.001    0.840    0.840 profiling_senarios.py:275(scenario_s3_inference_metadata_burst)
      116    0.001    0.000    0.662    0.006 context.py:118(wrapper)
      112    0.000    0.000    0.539    0.005 client.py:593(_api_call)
      112    0.002    0.000    0.536    0.005 client.py:994(_make_api_call)
      112    0.000    0.000    0.372    0.003 client.py:1082(_make_request)
      112    0.000    0.000    0.372    0.003 endpoint.py:113(make_request)
      112    0.001    0.000    0.372    0.003 endpoint.py:192(_send_request)
1217/1097    0.003    0.000    0.361    0.000 hooks.py:410(emit)
1441/1209    0.009    0.000    0.357    0.000 hooks.py:205(_emit)
1217/1097    0.001    0.000    0.354    0.000 hooks.py:245(emit)
       75    0.000    0.000    0.322    0.004 factory.py:580(do_action)
       75    0.001    0.000    0.322    0.004 action.py:63(__call__)
      112    0.001    0.000    0.249    0.002 endpoint.py:233(_get_response)
      112    0.002    0.000    0.247    0.002 endpoint.py:261(_do_get_response)
       35    0.000    0.000    0.227    0.006 inference_service.py:50(upload_raw_image)
      112    0.000    0.000    0.225    0.002 botocore_stubber.py:32(__call__)
      112    0.008    0.000    0.222    0.002 botocore_stubber.py:45(process_request)
       35    0.001    0.000    0.212    0.006 inference_service.py:122(create_inference_record)
       35    0.000    0.000    0.206    0.006 inference_service.py:86(save_image_metadata)
1673/1651    0.001    0.000    0.194    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.192    0.096 profiling_senarios.py:142(mock_artguard_aws)
  117/108    0.000    0.000    0.192    0.002 contextlib.py:136(__enter__)
       70    0.000    0.000    0.126    0.002 config.py:76(get_table)
        4    0.000    0.000    0.124    0.031 session.py:233(client)
        4    0.000    0.000    0.124    0.031 session.py:846(create_client)
        2    0.000    0.000    0.121    0.060 __init__.py:87(client)
       70    0.001    0.000    0.116    0.002 factory.py:505(create_resource)
      112    0.001    0.000    0.112    0.001 endpoint.py:121(create_request)
       75    0.000    0.000    0.110    0.001 responses.py:281(dispatch)
       75    0.000    0.000    0.109    0.001 responses.py:457(_dispatch)
        4    0.000    0.000    0.100    0.025 client.py:103(create_client)
       75    0.000    0.000    0.095    0.001 aws_headers.py:43(_wrapper)
       75    0.000    0.000    0.094    0.001 responses.py:258(call_action)
       75    0.001    0.000    0.092    0.001 responses.py:574(call_action)
    51/30    0.000    0.000    0.088    0.003 loaders.py:137(_wrapper)
       77    0.004    0.000    0.086    0.001 factory.py:41(load_from_definition)
        5    0.000    0.000    0.068    0.014 loaders.py:375(load_service_model)
      112    0.000    0.000    0.061    0.001 signers.py:103(handler)
      112    0.001    0.000    0.061    0.001 signers.py:110(sign)
      112    0.000    0.000    0.060    0.001 client.py:1146(_resolve_endpoint_ruleset)
      112    0.001    0.000    0.059    0.001 regions.py:490(construct_endpoint)
      112    0.001    0.000    0.059    0.001 client.py:1093(_convert_to_request_dict)
      687    0.001    0.000    0.057    0.000 hooks.py:418(register)
       35    0.000    0.000    0.055    0.002 responses.py:329(key_dispatch)
       35    0.000    0.000    0.054    0.002 responses.py:1441(key_response)
      112    0.001    0.000    0.054    0.000 auth.py:427(add_auth)
       70    0.000    0.000    0.051    0.001 responses.py:51(_wrapper)
      228    0.004    0.000    0.050    0.000 useragent.py:411(to_string)
       70    0.001    0.000    0.049    0.001 responses.py:602(put_item)
      698    0.001    0.000    0.044    0.000 hooks.py:143(_verify_and_register)
        3    0.003    0.001    0.044    0.015 loaders.py:279(list_available_services)
      687    0.001    0.000    0.044    0.000 hooks.py:84(register)
       14    0.000    0.000    0.044    0.003 loaders.py:437(load_data_with_path)
      112    0.001    0.000    0.043    0.000 utils.py:1515(inner)
       19    0.000    0.000    0.043    0.002 loaders.py:184(load_file)
       32    0.000    0.000    0.043    0.001 loaders.py:172(_load_file)
       44    0.000    0.000    0.042    0.001 utils.py:1511(func_with_weakref)
       44    0.000    0.000    0.042    0.001 endpoint_provider.py:707(resolve_endpoint)
       44    0.000    0.000    0.042    0.001 endpoint_provider.py:688(evaluate)
   699/58    0.002    0.000    0.041    0.001 endpoint_provider.py:535(evaluate)
      698    0.000    0.000    0.040    0.000 hooks.py:175(_verify_accept_kwargs)
      698    0.001    0.000    0.040    0.000 compat.py:72(accepts_kwargs)
        2    0.000    0.000    0.039    0.020 __init__.py:96(resource)
        2    0.000    0.000    0.039    0.020 session.py:341(resource)
      230    0.001    0.000    0.039    0.000 __init__.py:304(loads)
       77    0.001    0.000    0.039    0.001 transform.py:40(__init__)
      698    0.006    0.000    0.039    0.000 inspect.py:1336(getfullargspec)
      230    0.001    0.000    0.038    0.000 decoder.py:340(decode)
     3634    0.006    0.000    0.038    0.000 useragent.py:199(to_string)
      230    0.037    0.000    0.037    0.000 decoder.py:351(raw_decode)
       70    0.000    0.000    0.037    0.001 __init__.py:257(put_item)
       70    0.001    0.000    0.037    0.001 table.py:617(put_item)
       77    0.004    0.000    0.037    0.000 factory.py:196(_load_attributes)
     1571    0.002    0.000    0.036    0.000 endpoint_provider.py:421(evaluate_conditions)
 1301/769    0.001    0.000    0.035    0.000 utils.py:1178(__get__)
3427/3216    0.007    0.000    0.034    0.000 endpoint_provider.py:133(call_function)
        4    0.000    0.000    0.033    0.008 client.py:232(_load_service_model)
        4    0.000    0.000    0.033    0.008 client.py:533(_get_client_args)
        4    0.000    0.000    0.033    0.008 args.py:106(get_client_args)
      175    0.003    0.000    0.032    0.000 model.py:222(members)
        1    0.000    0.000    0.032    0.032 profiling_senarios.py:85(_create_dynamodb_tables)
      112    0.000    0.000    0.032    0.000 validate.py:417(serialize_to_request)
     9996    0.006    0.000    0.031    0.000 useragent.py:141(sanitize_user_agent_string_component)
 1223/698    0.005    0.000    0.030    0.000 inspect.py:2496(_signature_from_callable)
       35    0.001    0.000    0.030    0.001 responses.py:1469(_key_response)
       70    0.001    0.000    0.030    0.000 dynamo_type.py:317(__init__)
      112    0.001    0.000    0.030    0.000 auth.py:370(canonical_request)
     4403    0.002    0.000    0.029    0.000 model.py:210(_resolve_shape_ref)
14019/13286    0.018    0.000    0.029    0.000 {method 'join' of 'str' objects}
      112    0.001    0.000    0.028    0.000 client.py:1121(_emit_api_params)
      770    0.007    0.000    0.027    0.000 dynamo_type.py:298(__setitem__)
       75    0.000    0.000    0.027    0.000 utils.py:75(method_names_from_class)
